docId,filename,top topics, and contribution to doc ...
54,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000051.txt,3,0.433,8,0.113,6,0.099,9,0.094,10,0.089,2,0.079
55,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000052.txt,3,0.312,10,0.176,2,0.140,9,0.077,6,0.077,7,0.059,4,0.054
56,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000053.txt,10,0.325,3,0.272,6,0.131,9,0.094,2,0.068
57,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000054.txt,2,0.251,5,0.222,4,0.117,9,0.082,7,0.076,1,0.076,6,0.064
58,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000055.txt,10,0.230,2,0.164,6,0.120,7,0.109,5,0.093,8,0.087,1,0.055
59,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000056.txt,6,0.283,2,0.151,3,0.117,10,0.107,4,0.068,8,0.063,7,0.063,5,0.063
60,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000057.txt,9,0.256,3,0.244,8,0.125,6,0.125,4,0.108
61,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000058.txt,6,0.218,1,0.207,3,0.103,7,0.098,8,0.086,9,0.069,2,0.069,4,0.063
62,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000059.txt,4,0.324,8,0.225,3,0.176,9,0.093,10,0.074
63,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000060.txt,6,0.321,8,0.198,9,0.154,3,0.142
64,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000061.txt,10,0.627,4,0.086,6,0.077,8,0.057,7,0.053
65,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000062.txt,10,0.236,2,0.194,1,0.173,7,0.120,6,0.094,4,0.084,5,0.058
66,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000063.txt,2,0.348,10,0.172,1,0.131,7,0.116,9,0.061
67,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000064.txt,10,0.392,2,0.132,9,0.113,6,0.090,1,0.090,7,0.075
68,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000065.txt,8,0.194,9,0.148,4,0.133,10,0.122,6,0.117,7,0.082,3,0.077,2,0.056,5,0.051
69,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000066.txt,10,0.179,2,0.179,6,0.164,4,0.128,8,0.118,5,0.087,7,0.082
70,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000067.txt,8,0.259,3,0.249,6,0.243,9,0.065,7,0.054
71,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000068.txt,4,0.210,6,0.195,3,0.164,9,0.149,8,0.123,2,0.051
72,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000069.txt,6,0.230,7,0.225,2,0.199,9,0.099,5,0.068,1,0.063
73,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000070.txt,2,0.236,1,0.202,7,0.153,10,0.094,4,0.079,6,0.069,8,0.064
74,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000071.txt,6,0.158,4,0.153,2,0.153,9,0.132,3,0.121,8,0.089,10,0.068,1,0.058
75,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000072.txt,10,0.318,4,0.208,3,0.161,8,0.109,9,0.068,2,0.057
76,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000073.txt,10,0.387,9,0.145,5,0.091,6,0.081,1,0.081,4,0.054
77,/Users/justinlittman/Google Drive/Hack-to-Learn Datasets/Eleanor Roosevelt Papers "My Day" columns/txt/md000074.txt,5,0.303,7,0.223,1,0.149,4,0.096,9,0.090,8,0.053
